FacilityName,FacilityId,City,State,ZipCode,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?,Column,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported emissions from Onshore Oil & Gas Production,State where Emissions Occur,Total reported direct emissions from Local Distribution Companies,Total reported direct emissions from Electrical Equipment Use,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply,Quantity of CO2 Received for Injection,D,Direct Emitter
California Resources Production Corporation – Kern Front,1005108,Bakersfield,CA,93308,9522 Oilfield Road,Kern,35.49574,-119.03438,211111,C,Petroleum and Natural Gas Systems,769310.252,768516.2,362.25,431.802,,,,,,,,,,769310.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
California Resources Production Corporation – Lost Hills,1000289,Lost Hills,CA,93249,12888 Holloway Road,Kern,35.686176,-119.801188,211111,C,Petroleum and Natural Gas Systems,410882.904,410459.3,193.25,230.354,,,,,,,,,,410882.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
California Resources Production Corporation – Santa Clara Valley Gas Plant,1005321,Piru,CA,93040,3824 GUIBERSON ROAD-GAS PL,Ventura,34.390033,-118.795921,211112,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",15114.152,13141.5,1965.5,7.152,,,,,,,,,,1315.596,,,,,,,,,,,,,,,,,,,13798.556,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
California Street Landfill,1010207,City Of Redlands,CA,92373,2151 Nevada Street,San Bernardino,34.08907,-117.21742,562212,HH,Waste,40591,,40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40591,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Callahan Compressor Station,1002873,Parachute,CO,81635,,Garfield,39.468423,-108.08675,213112,C,Petroleum and Natural Gas Systems,26023.252,25996.4,12.25,14.602,,,,,,,,,,26023.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Callisto Compressor Station,1010717,Sycamore,PA,15364,225 Hopkins Run Road,Greene,39.937877,-80.26056,486210,C,Petroleum and Natural Gas Systems,81171.144,81087.3,38.25,45.594,,,,,,,,,,81171.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Calpine Gilroy Cogen, LP",1000453,Gilroy,CA,95020,1400 PACHECO PASS HWY,Santa Clara,37.0001,-121.5367,221112,"C,D",Power Plants,91107.656,91013.4,43,51.256,,,,,,,,,,26019.852,65087.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Calpine Hidalgo Energy Center,1007233,Edinburg,TX,78539,4005 N SEMINARY RD,Hidalgo,26.3389,-98.1708,221112,D,Power Plants,1083593.184,1082492.8,502,598.384,,,,,,,,,,,1083593.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Calpine King City Cogen, LLC",1000597,King City,CA,93930,750 Metz Road,Monterey,36.2257,-121.1279,221112,C,Power Plants,201202.444,200995.3,94.5,112.644,,,,,,,,,,201202.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Calpine Sutter Energy Center,1001320,Yuba City,CA,95993,5029 SOUTH TOWNSHIP ROAD,Sutter,39.0531,-121.6939,221112,D,Power Plants,472895.42,472407.7,222.5,265.22,,,,,,,,,,,472895.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
"Calumet Energy Team, LLC",1005756,Chicago,IL,60617,11653 S TORRENCE AVE,Cook,41.6835,-87.5563,221112,D,Power Plants,39941.848,39900.2,19,22.648,,,,,,,,,,,39941.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Calumet Montana Refining, LLC",1007739,Great Falls,MT,59404,1900 10TH STREET NORTHEAST,Cascade,47.523611,-111.294167,324110,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",131429.776,130186.7,941.5,301.576,,,,,,,,,,78442.466,,,,,,,,,,,17927.5,,,,,,,,,,,,,,35059.81,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
"Calumet Specialty Products, LLC",1005803,San Antonio,TX,78235,"1 BDA Crossing, Suite 100",Bexar,29.3476,-98.4603,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",65119.202,63712.5,1183.5,223.202,,,,,,,,,,52643.478,,,,,,,,,,,,,,,,,,,,,,,,,12475.724,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cambpell County Landfill,1005719,Rustburg,VA,24588,427 Livestock Road,Campbell,37.27965,-79.15261,562212,"C,HH",Waste,1334.8,2.8,1332,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cambria Cogen,1001220,Ebensburg,PA,15931,243 RUBISCH ROAD,Cambria,40.4748,-78.7021,221112,D,Power Plants,813843.45,807746.9,2230,3866.55,,,,,,,,,,,813843.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Station,1000468,Cambridge,MN,55008,HIGHWAY 65,Isanti,45.601,-93.2081,221112,"C,D",Power Plants,20014.722,19993.6,9.5,11.622,,,,,,,,,,237.446,19777.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Camden County SR 110 MSW Landfill,1003933,Woodbine,GA,31569,5395 Highway 110,Camden,30.911762,-81.79263,562212,HH,Waste,76918.25,,76918.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76918.25,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Camden Plant Holding, LLC",1001226,Camden,NJ,8104,570 CHELTON AVE,Camden,39.9175,-75.1192,221112,"C,D",Power Plants,123752.44,123626.4,57.5,68.54,,,,,,,,,,2048.092,121704.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Camp Creek Mine,1009919,East Lynn,WV,25512,,Wayne,38.1556,-82.3278,212112,FF,Other,4070,,4070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Campbell County Landfill No.2,1011229,Gillette,WY,82716,,Campbell,44.39256,-105.490383,562212,"C,HH",Waste,27232.85,0.1,27232.75,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27232.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Campbells Creek No. 10,1010278,Wharton,WV,25208,33207 Pond Fork Road,Boone,37.83178,-81.669253,212112,FF,Other,26740.75,,26740.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26740.75,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cana Gas Plant,1001589,Calumet,OK,73014,,Canadian,35.535,-98.099,211111,"C,W-PROC",Petroleum and Natural Gas Systems,174388.28,170294.3,4016.5,77.48,,,,,,,,,,129627.712,,,,,,,,,,,,,,,,,,,44760.568,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Canaday,1006660,Lexington,NE,68850,74965 RD 435,Gosper,40.6941,-99.7005,221112,"C,D",Power Plants,3804.936,3801.1,1.75,2.086,,,,,,,,,,244.3,3560.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Canal Station,1000658,Sandwich,MA,2563,9 FREEZER ROAD,Barnstable,41.7694,-70.5097,221112,"C,D",Power Plants,240424.156,239706.5,219.4,498.256,,,,,,,,,,9926.137,230498.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cane Hill Compressor Station,1011960,Columbia,LA,71418,2700 Hwy 165 South,Caldwell Parish,32.20023,-92.113087,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,45519.216,22477.2,23029.5,12.516,,,,,,,,,,22473.616,,,,,,,,,,,,,,,,,,,,23045.6,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cane Island,1001098,Intercession City,FL,33848,6075 OLD TAMPA HIGHWAY,Osceola,28.2764,-81.533,221112,"C,D",Power Plants,1445603.492,1444135.4,669.75,798.342,,,,,,,,,,1510.044,1444093.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cane Run,1006509,Louisville,KY,40216,5252 Cane Run Road,Jefferson,38.1828,-85.8894,221112,"C,D",Power Plants,1706879.796,1699949.6,2623.5,4306.696,,,,,,,,,,2974.84,1703904.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Caney Lake Facility,1008099,Chatham,LA,71226,448 Ramsey Hill Road,Jackson Parish,32.29727,-92.52126,211111,"C,W-PROC",Petroleum and Natural Gas Systems,17843.476,16725.4,1114.5,3.576,,,,,,,,,,6293.476,,,,,,,,,,,,,,,,,,,11550,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cannon Falls Energy Center,1000488,Cannon Falls,MN,55009,525 N PARK DR,Goodhue,44.5364,-92.9147,221112,"C,D",Power Plants,37545.126,37500.2,19,25.926,,,,,,,,,,133.5,37411.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Canoe Run Compressor Station,1010724,Jersey Shore,PA,17740,3726 Canoe Run Road,Lycoming,41.26024,-77.25591,211111,C,Petroleum and Natural Gas Systems,31721.58,31688.7,15,17.88,,,,,,,,,,31721.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cantaral Compressor Station,1011201,Waynesurgh,PA,15370,558 Pisgah Ridge Road,Greene,39.922436,-80.215973,213112,C,Petroleum and Natural Gas Systems,36695.512,36657.7,17.25,20.562,,,,,,,,,,36695.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Canton Drop Forge,1009529,Canton,OH,44706,4575 Southway Street S.W.,Stark,40.7815,-81.43072,332111,C,Other,36660.212,36622.4,17.25,20.562,,,,,,,,,,36660.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Canyon Power Plant,1000566,"Anaheim, Ca",CA,92806,3071 E. Miraloma Avenue,Orange,33.8581,-117.8616,221112,D,Power Plants,53207.452,53153.2,24.75,29.502,,,,,,,,,,,53207.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Canyon Station MP-261,1002631,Offshore,LA,0,,,29.3308,-88.1019,213112,C,Petroleum and Natural Gas Systems,3771.48,3766.5,2,2.98,,,,,,,,,,3771.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cape Canaveral,1007650,Cocoa,FL,32927,6000 NORTH US HWY 1,Brevard,28.4694,-80.7642,221112,D,Power Plants,2549467.948,2547577.8,861.75,1028.398,,,,,,,,,,,2549467.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Capitol Disposal Landfill,1010389,Juneau,AK,99801,5600 Tonsgard Court,Juneau,58.354996,-134.496565,562212,"C,HH",Waste,13579.644,343.5,13235.25,0.894,,,,,,,,,,344.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13235,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Capitol District Energy Center,1001247,Hartford,CT,6106,490 CAPITOL AVE,Hartford,41.7639,-72.6925,221112,"C,D",Power Plants,49128.192,49073.2,24,30.992,,,,,,,,,,7458.172,41670.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Caraustar Industries dba Tama Paperboard,1012019,Tama,IA,52339,117 Siegel Street,Tama,41.961006,-92.580083,322130,C,Pulp and Paper,25086.956,25061.2,11.75,14.006,,,,,,,,,,25086.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carbide Industries LLC,1005537,Louisville,KY,40211,4400 Bells Lane,Jefferson,38.22144,-85.83767,325188,"C,K",Metals,54823.392,53490.7,1331.5,1.192,,,,,,,,,,7653.892,,,,,,,47169.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carbide Liquids Facility,1011702,Hastings,WV,26419,1 Union Carbide Road,,,,211112,C,Petroleum and Natural Gas Systems,49372.764,49321.8,23.25,27.714,,,,,,,,,,49372.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carbon,1000960,Helper,UT,84526,,Carbon,39.7272,-110.8644,221112,D,Power Plants,412738.376,409432.1,1209.25,2097.026,,,,,,,,,,,412738.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Cardinal,1000839,Brilliant,OH,43913,306 COUNTY ROAD 7 EAST,Jefferson,40.2522,-80.6486,221112,"C,D",Power Plants,8290584.748,8224335,24224,42025.748,,,,,,,,,,38698.474,8251886.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Cardinal FG Company,1004225,Winlock,WA,98596,545 Avery Road West,Lewis,46.544937,-122.926313,327211,"C,N,U",Minerals,105473.928,105399.4,34,40.528,,,,,,,,,,72660.328,,,,,,,,,32627.7,,,,,,,185.9,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Corn Milling,1000407,Memphis,TN,38113,2330 BUOY ST,Shelby,35.0828,-90.1372,311221,C,Other,48562.554,48417.5,56.25,88.804,,,,,,,,,,48562.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Corn Milling North America,1006425,Blair,NE,68008,650 Industrial park Drive,Washington,41.520412,-96.079271,311221,"C,II","Other,Waste",506338.34,505146.3,900,292.04,,,,,,,,,2355.3,505679.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.5,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Inc,1005124,Charlotte,NC,28217,5000 South Blvd,Mecklenburg,35.16942,-80.87617,311222,C,Other,17687.184,17669.1,8.25,9.834,,,,,,,,,,17687.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Incorporated,1006258,Sioux City,IA,51102,1016 CLARK St.,Woodbury,42.50129,-96.39094,311222,C,Other,57499.884,57440.7,27,32.184,,,,,,,,,,57499.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Incorporated,1003146,Iowa Falls,IA,50126,602 INDUSTRIAL RD.,Hardin,42.512112,-93.264461,311222,C,Other,55397.092,55340.1,26,30.992,,,,,,,,,,55397.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Incorporated,1003061,Cedar Rapids,IA,52402,411 6TH ST. N.E.,Linn,41.983851,-91.667123,311222,C,Other,32001.78,31968.9,15,17.88,,,,,,,,,,32001.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Malt,1007296,Spiritwood,ND,58481,3349 94th Ave. SE,Stutsman,46.927197,-98.49595,311213,C,Other,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Meat Solutions,1010356,Friona,TX,79035,1530 U.S. Hwy 60,Parmer,34.5992,-102.7736,311611,"C,II","Other,Waste",43558.024,29223.7,14285.75,48.574,,,,,,,,,9774,29299.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14258.25,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Meat Solutions,1010327,Ottumwa,IA,52501,600 South Iowa Ave,Wapello,41.00331,-92.39382,311611,"C,II","Other,Waste",39118.512,27359.7,11738.25,20.562,,,,,,,,,1423.2,27395.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11723,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Meat Solutions Corp,1003753,Wyalusing,PA,18853,1252 Route 706,Bradford,41.683889,-76.240833,311611,"C,II","Other,Waste",25575.718,12478,13085.5,12.218,,,,,,,,,1353.4,12498.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13077.5,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Meat Solutions Corporation,1000855,Schuyler,NE,68661,"490 Road 9, PO Box 544",Colfax,41.4514,-97.095,311611,"C,II","Other,Waste",39154.356,4901.3,34209.25,43.806,,,,,,,,,7915,4960.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34193.5,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Cargill Salt,1009702,Hersey,MI,49639,1395 135th Avenue,Osceola,43.8348,-85.3553,311942,C,Other,37776.508,37737.6,17.75,21.158,,,,,,,,,,37776.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Cargill, Inc",1011980,Lafayette,IN,47905,1502 Wabash Avenue,Tippecanoe,40.404592,-86.904293,311222,C,Other,30881.284,30849.5,14.5,17.284,,,,,,,,,,30881.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Cargill, Inc.",1003495,Fayetteville,NC,28312,1754 River Road,Cumberland,35.08573,-78.84788,311222,C,Other,33367.02,33289.1,28.75,49.17,,,,,,,,,8501.4,33367.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Cargill, Incorporated",1011065,Fort Dodge,IA,50501,1950 Harvest Avenue,Webster,42.50911,-94.31383,325193,"C,II","Other,Waste",190753.624,190460.2,185.25,108.174,,,,,,,,,293,190658.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carl Bailey,1001434,Augusta,AR,72006,585 Woodruff 816,Woodruff,35.2597,-91.3631,221112,"C,D",Power Plants,22758.406,22732.9,11.5,14.006,,,,,,,,,,2092.692,20665.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Carleton Farms Landfill,1007521,Sumpter Twp,MI,48164,28800 CLARK RD,Wayne,42.093,-83.428,562212,"C,HH",Waste,128145.25,20.5,128124.75,,,,,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128124.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Carlex Glass America, LLC",1004724,Nashville,TN,37209,7200 Centennial Blvd.,Davidson,36.18364,-86.87813,327211,"C,N",Minerals,98892.708,98812.7,36.5,43.508,,,,,,,,,,77515.208,,,,,,,,,21377.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carlisle Mine,1003751,Carlisle,IN,47838,1466 East State Road 58,Sullivan,39.001667,-87.396944,212112,FF,Other,515571,,515571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515571,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carlls Corner Energy Center,1000733,Upper Deerfield Twp,NJ,8302,BURLINGTON ROAD,Cumberland,39.4547,-75.2011,221112,"C,D",Power Plants,22827.594,22790.6,13.75,23.244,,,,,,,,,,1,22826.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carmen Gas Processing Plant,1011762,Carmen,OK,73726,,Alfalfa,36.57609,-98.532847,211112,C,Petroleum and Natural Gas Systems,16832.236,16814.7,8,9.536,,,,,,,,,,16832.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Carmeuse Lime, Inc. Buffington",1004187,Gary,IN,46406,1 North Carmeuse Drive,Lake,41.64083,-87.40821,327410,"C,S",Minerals,1069263.1,1065291.5,1453.5,2518.1,,,,,,,,,,511121.6,,,,,,,,,,,,,,558141.5,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carneys Point,1005877,Carneys Point,NJ,8069,500 SHELL RD,Salem,39.6928,-75.4867,221112,C,Power Plants,1129823.231,1120768.8,3311.375,5743.056,,,,,,,,,,1129823.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,
Carolina Landfill,1007121,Carolina,PR,984,"Carr. PR-874 Final, Km. 1.7, Bo. Hoyos Mulas",Carolina Municipio,18.408363,-65.93762,562212,"C,HH",Waste,60427.5,1,60426.5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60426.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carpenter Compressor Station,1011925,West Alexander,PA,15376,265 Old National Pike,Washington,40.102807,-80.479673,211111,C,Petroleum and Natural Gas Systems,50064.712,50013.2,23.5,28.012,,,,,,,,,,50064.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carpenter Technology - Latrobe Operations,1004434,Latrobe,PA,15650,2626 LIGONIER STREET,Westmoreland,40.302598,-79.372804,331111,"C,Q",Metals,78981.18,78920.9,27.5,32.78,,,,,,,,,,58243.48,,,,,,,,,,,,20737.7,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carr Street Generating Station,1001257,East Syracuse,NY,13057,64 CARR ST,Onondaga,43.0611,-76.0819,221112,"C,D",Power Plants,141464.252,141316.1,66.5,81.652,,,,,,,,,,633.948,140830.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carrollton Compressor Station,1011112,Carrollton,OH,44615,2098 Panda Rd SE,Carroll,40.543561,-81.012659,211111,C,Petroleum and Natural Gas Systems,46919.224,46871,22,26.224,,,,,,,,,,46919.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carson Cogeneration,1001127,Elk Grove,CA,95758,8580 Laguna Station Rd,Sacramento,38.4461,-121.4614,221112,"C,D",Power Plants,210544.216,210318.2,101.75,124.266,,,,,,,,,2760.8,0,210544.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carson Cogeneration Company,1000422,Carson,CA,90746,17171 S CENTRAL AVE,Los Angeles,33.8759,-118.2491,221112,D,Power Plants,17680.184,17662.1,8.25,9.834,,,,,,,,,,,17680.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carter Creek,1008031,Evanston,WY,82930,1013 Cheyenne Drive,,,,211112,"C,W-PROC",Petroleum and Natural Gas Systems,137539.788,135230.8,2262.5,46.488,,,,,,,,,,74079.472,,,,,,,,,,,,,,,,,,,63460.316,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
"Carter Roag Coal Company, Inc. - Pleasant Hill Mine",1011472,Tallmansville,WV,26237,1023 Lanham Cemetery Road,Upshur,38.843321,-80.165185,212112,FF,Other,273750,,273750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273750,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
Carthage,1004382,Carthage,TX,75633,356 FM 959,Panola,32.167336,-94.424217,211112,"C,W-PROC",Petroleum and Natural Gas Systems,93295.882,84136.5,9112,47.382,,,,,,,,,,84193.532,,,,,,,,,,,,,,,,,,,9102.35,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
